,text,selected_text,sentiment,Age of User,Country
24058,never give up on something you ca nt go a day without thinking about i like that quote,i like that quote.,positive,60-70,Saint Kitts and Nevis
24059,yes i think its safe to say she is at the same popularity level date_today as always,yes i think it`s safe to say she is at the same popularity level today as always.,positive,70-100,Saint Lucia
24060,been there done that with the laundry you know it sucks but it is so nice to of them to do itjust say thanks,"been there done that with the laundry!  you know it sucks, but it is so nice to of them to do it...just say thanks.",neutral,0-20,Saint Vincent and the Grenadines
24061,happy mothers dayy all mothers especially mine,happy mothers dayyy,positive,21-30,Samoa
24062,org_iãââ½m really desappointed,really desappointed..,negative,31-45,San Marino
24063,i loove bank holidays,i loooooove,positive,46-60,Sao Tome and Principe
24064,picture as promised URL,pic as promised,neutral,60-70,Saudi Arabia
24065,welcome to minnesoota free up some time this trip to catch up wo nt be at cliquot club though they closed,- welcome to minnesoooooooota. free up some time this trip to catch up! won`t be at cliquot club though; they closed,neutral,70-100,Senegal
24066,watching videos on youtube with the bf thinking about going to bed soon,watching videos on youtube with the bf.  thinking about going to bed soon.,neutral,0-20,Serbia
24067,if i had a car,if i had a car,neutral,21-30,Seychelles
24068,do not put behind the wheel laughing my fking ass off date_today was fun,fun,positive,31-45,Sierra Leone
24069,gnight,g`night,neutral,46-60,Singapore
24070,out for time_an time_evening on the town with jeremy sad carrie ca nt come,sad carrie can`t come,negative,60-70,Slovakia
24071,why canceled your performance on letterman i m so sad because it is less an option for you,o sad,negative,70-100,Slovenia
24072,Instant Message regretting the alcohol i consumed time_last time_night my head,regretting,negative,0-20,Solomon Islands
24073,just got a wii,just got a wii,neutral,21-30,Somalia
24074,left the inn now Instant Message at school dang its straight up dead here hannah,dead,negative,31-45,South Africa
24075,seen mi abueltia at the hospital she s doing good,she`s doing good!,positive,46-60,South Korea
24076,awwthats my last one roop,aww-that`s my last one. roo-oop,neutral,60-70,South Sudan
24077,trying to finish my ignmentplease god help me to finish it,****-i,negative,70-100,Spain
24078,no plans time_tonight,no plans tonight?,neutral,0-20,Sri Lanka
24079,dear god please let me wake up before org_NUMBERNUMBER org_am org_moro laughing out loud got plans time_tonight was let us pick on time_hero time_night grow up get a job etc laugh out loud,lol go,positive,21-30,Sudan
24080,at the doctors office waiting for dr sufka to see me tired of being sick hope everyone else is having better date_friday than me,sick,negative,31-45,Suriname
24081,_ person_carter got to make the video public dear laughing out loud ca nt see it,"_carter gotta make the video public, dear. lol ...can`t see it.",neutral,46-60,Sweden
24082,your there when i m not laughing out loud,ur there when i`m not  lol,neutral,60-70,Switzerland
24083,i hate the biatches of this world,hate,negative,70-100,Syria
24084,URL boagsie actually is still this small laughing out loud him at for date_years old,http://twitpic.com/4jcjj - boagsie actually is still this small lol - him at 4 years old,neutral,0-20,Tajikistan
24085,looks like yet another beautiful day in gpe_london,beautiful day,positive,21-30,Tanzania
24086,drews new songs make me cry i miss person_thomas already,drew`s new songs make me cry.  i miss thomas already!,negative,31-45,Thailand
24087,its am and i m wide awake,****..,negative,46-60,Timor-Leste
24088,just preordered your new album off the deep end been listening to permanent heart on repeat since,just pre-ordered your new album `off the deep end`. been listening to `permanent heart` on repeat since.,neutral,60-70,Togo
24089,i sure hope so it was worth it for me too loveu,#name?,positive,70-100,Tonga
24090,instead of telling god how big my problems are i like telling my problems how big god is URL,"instead of telling god how big my problems are, i like telling my problems how big god is!",neutral,0-20,Trinidad and Tobago
24091,i want to party down,i want to party down!,neutral,21-30,Tunisia
24092,hahahaha i did nt know it said that sheeitt i do nt get why i ca nt have a picture bwaahh,i don`t get why,negative,31-45,Turkey
24093,ok soo i did that i ve got you in the palm of my hand,"....ok, soooooooooo i did that!! i`ve got u in the palm of my hand",neutral,46-60,Turkmenistan
24094,beer from gpe_japan google it,beer from japan.  google it,neutral,60-70,Tuvalu
24095,calling all mothers calling all mothersget your butts to bed the kidsll be here org_moro,"calling all mothers, calling all mothers...get your butts to bed - the kids`ll be here tomorrow",neutral,70-100,Uganda
24096,nope do nt think i will thanks for asking laughing out loud i will be fine,. thnx for asking lol i will be fine,positive,0-20,Ukraine
24097,thanku cooking is simple but the law is you have to have fun while you make it,thanku  cooking is simple but the law is- u hve to have fun while u make it,positive,21-30,United Arab Emirates
24098,time_another time_night of not sleeping,another night of not sleeping,neutral,31-45,United Kingdom
24099,walls of gpe_jericho please come to worcester as soon as possible candace pleeaassee why did flee the seen call it quits whyy,walls of jericho please come to worcester asap! candace pleeaassee! why did flee the seen call it quits? whyyy?,neutral,46-60,United States of America
24100,happy mothers day moms you are wonderful have a great day,"happy mother`s day, moms!!! you are wonderful!! have a great day",positive,60-70,Uruguay
24101,ahh its my NUMBERth birthday and i can not belive i found out Instant Message seeing yous time_tonight best present everr org_NUMBER,ahhhhhhh!!!!! its my 16th birthday  and i cant belive i found out im seeing yous tonight  best present everr!!! <333333333,negative,70-100,Uzbekistan
24102,ohi i would marry travis pastrana in a ordinal_second he s not that attractive he s just the sweetest thing and what he does is attractive ha,"ohi i would marry travis pastrana in a second... hes not that attractive, hes just the sweetest thing  and what he does is attractive ;)ha",neutral,0-20,Vanuatu
24103,wish i was in gpe_chicago,wish i was in chicago.,positive,21-30,Venezuela
24104,yumwish we could be there date_today i have a cold and do nt want to infect othersso we will miss our date_friday session,yum...wish we could be there today. i have a cold and don`t want to infect others...so we will miss our friday session.,neutral,31-45,Vietnam
24105,heading of to the theatre having a show time_tonight i m so exited,i`m so exited!,positive,46-60,Yemen
24106,good morning world happy star wars day may the th be with you,good,positive,60-70,Zambia
24107,good plan peg plus i like the sound of money date_monday,"good plan,",positive,70-100,Zimbabwe
24108,i also believe in some things are meant to happen,i also believe in some things are meant to happen.,neutral,0-20,Afghanistan
24109,just got home but about to leave again,just got home  but about to leave again,neutral,21-30,Albania
24110,ouch better get used to it i think NUMBER to NUMBER are prime marriage years,ouch.,negative,31-45,Algeria
24111,iprocrastinate this is by far my character flaw got to session at org_NUMBER and i do nt want to emerge from my covers,this is by far my #1 character flaw. gotta session at 11 and i don`t want to emerge from my covers.,neutral,46-60,Andorra
24112,hahaha that made me laugh,laugh,positive,60-70,Angola
24113,there are cardinal_three broody ones atm i have a gpe_china eggs under them to keep them happy ish,happy,positive,70-100,Antigua and Barbuda
24114,my music URL,my music http://www.myspace.com/janedurkin,neutral,0-20,Argentina
24115,URL haha i love it,love,positive,21-30,Armenia
24116,forgot to answer your kindle question date_yesterday honestly have nt used it much have cardinal_two paperback books i want too read ordinal_first,forgot,negative,31-45,Australia
24117,person_ill person_tryblah thanks what are you up to today,i`ll try..blah! thanks  what are u up to today?,neutral,46-60,Austria
24118,is watching doa,is watching d.o.a,neutral,60-70,Azerbaijan
24119,sigh guess were not going to meet up date_today,sigh),negative,70-100,Bahamas
24120,baq to sleep i go no the headach starts if its not its the other,headach,negative,0-20,Bahrain
24121,wci hashtag simply is nt dying out anytime soon is it,t dying out anytime soon,negative,21-30,Bangladesh
24122,i do not want to be ugly anymore,i dont want to be ugly,negative,31-45,Barbados
24123,think you should catch up on your sleep befor you go back to uni haha goodnight,haha  goodnight,positive,46-60,Belarus
24124,Instant Message glad i can make someone smile,im glad i can make sumone smile,positive,60-70,Belgium
24125,date_today is nt going the way i planned early lunchbreak i may not be back until date_mon date_weekend going to be fun with friends though,fun,positive,70-100,Belize
24126,zeb has napped for time_hours already date_today and is asleep again he must be growing fast,he must be growing fast,positive,0-20,Benin
24127,i need a bigger mp player even if it pains me to say it,pains,negative,21-30,Bhutan
24128,time_Saturday time_Night time_Live after party,snl after party,neutral,31-45,Bolivia
